CID,SMILES,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa
C1486,CC1CCC(C#C)CC1,,,,,
C3195,C(=C)c1ccc2c(c1)cccc2,,,,,
C3697,C1(C=CC)CCCCC1N=[N+]=[N-],,,,,
C3319,C1C(N=[N+]=[N-])CCCC1,,,,,
C2651,C1CCC(N=[N+]=[N-])CC1,,,,,
C339,C=CC(=CC)Cc1ccccc1,,,,,
C3468,CC=CC#C,,,,,
C1921,C(C=C)c1ccc2c(c1)cccc2,,,,,
C4011,CCN=[N+]=[N-],,,,,
C3057,C(=C)CC#C,,,,,
C3026,C(C#C)C=C,,,,,
C3213,C(=C)CC#C,,,,,
C395,C#Cc1cccc(C)c1,,,,,
C964,C(C#C)Cc1ccccc1,,,,,
C6331,C(#C)c1ccccc1C,,,,,
C3952,C(#C)c1ccccc1C,,,,,
C1436,CC=Cc1ccc2c(c1)cccc2,,,,,
C3354,C(#C)Cc1ccccc1,,,,,
C713,C(C#C)CC=C,,,,,
C482,C(C=C)CC#C,,,,,
C2817,C(=CCC#C)C,,,,,
C4053,CC=CCC#C,,,,,
C1166,C(=C)(N=[N+]=[N-])c1ccccc1O,,,,,
C5696,CC(=C)N=[N+]=[N-],,,,,
C6083,C#Cc1ccc2c(c1)cccc2,,,,,
C1718,C=CCN=[N+]=[N-],,,,,
C5122,C1(CC#C)C(N=[N+]=[N-])CCCC1,,,,,
C5478,CC(=C)N=[N+]=[N-],,,,,
C024,C#CC#C,,,,,
C249,C(#C)CC#C,,,,,
C1409,C(#C)C#CC,,,,,
C4731,CC#CC#C,,,,,
C6393,C(C#C)(C)N=[N+]=[N-],,,,,
C6155,C(C#C)N=[N+]=[N-],,,,,
C6031,C#CN=[N+]=[N-],,,,,
C5706,C#CN=[N+]=[N-],,,,,
C3796,C(#C)N=[N+]=[N-],,,,,
C3072,C(C)(N=[N+]=[N-])N=[N+]=[N-],,,,,
C001,N1CNC(OO[N+](=O)[O-])N(CC=C)C1,,,,,
C002,C(C)C1CCC(Cc2ccccc2)C(C)C1,,,,,
C005,C1CCC(C2CNCN2c2cnnnc2)CC1,,,,,
C006,C1(C(=O)O)CNNN1,,,,,
C007,C1(C(=O)N)C(c2ccn[nH]2)NNC1,,,,,
C008,C1CNCC(NC(=N)N)N1,,,,,
C009,C1C(C(=O)C(N2CCCN2)N=[N+]=[N-])NNC1,,,,,
C010,C(#C)c1nnnnc1,,,,,
C011,N1N(N=[N+]=[N-])NCCC1CCC,,,,,
C012,C1(c2ccc3c(c2)cccc3)C(C2CNNN2)NNC1,,,,,
C013,N1CN([N+](=O)[O-])CNN1,,,,,
C015,C(C)C=N,,,,,
