MOL,exp e /kJ mol,mace e /eV,M062X H /Eh,wB97X-V H /Eh,CAM-B3LYP H /Eh,wB97XD-D3BJ /Eh,MN15 H /Eh,B2PLYP H /Eh,SMILES,REF
2_3-dimethylpyridine,68.3,-8897.8772027285,-326.7382312,-326.7845038,-326.6988662,-327.04426367,-326.47113302,-326.64175377,Cc1cccnc1C,NIST
3_4-dimethylpyridine,70.0,-8897.8262809748,-326.73694181,-326.78306749,-326.69726975,-327.04309762,-326.47009579,-326.64150225,Cc1ccncc1C,NIST
3_5-dimethylpyridine,72.8,-8897.810591394,-326.73498696,-326.78235113,-326.69732032,-327.04135574,-326.46717593,-326.63958368,Cc1cncc(C)c1,NIST
trimethylpyrazine,74.3,-10404.7849201227,-382.07638781,-382.12852193,-382.03623437,-382.42328818,-381.76752008,-381.96681704,Cc1cnc(C)c(C)n1,NIST
nitrosamide,77.00,-5059.7291458623,-185.81242832,-185.8266971,-185.82072821,-185.93490567,-185.6865492,-185.77956916,NN=O,ATcT
Isoxazole,78.58,-6697.8288904619,-245.96711895,-245.98739542,-245.95358511,-246.14767258,-245.7877966,-245.90703096,o1cccn1,NIST
benzene,82.9,-6321.2302178236,-232.11880659,-232.14986578,-232.08588509,-232.33869278,-231.92513492,-232.04916389,c1ccccc1,ATcT
n-methylaniline,83.9,-8897.6048182883,-326.73008391,-326.7736624,-326.6907113,-327.03357412,-326.4638039,-326.63221879,CNc1ccccc1,NIST
aniline,86.82,-7828.254603518,-287.46209469,-287.49698683,-287.42751725,-287.72164361,-287.2276957,-287.37775015,c1ccccc1N,ATcT
Aniline,87.03,-7828.2546371147,-287.46213499,-287.49697596,-287.42752981,-287.7216359,-287.22771593,-287.37777289,Nc1ccccc1,NIST
Benzylamine,87.8,-8897.6531517919,-326.72931726,-326.77435726,-326.68988225,-327.03473135,-326.46246688,-326.63289444,NCc1ccccc1,NIST
dioxodiazoxane,88.2,-9120.9924423645,-334.96068876,-334.97965946,-334.9775808,-335.15211787,-334.74353939,-334.9130482,O=N-O-N=O,ATcT
3-Aminopropionitrile,89.75,-6189.9165408439,-227.30513926,-227.3311765,-227.2869884,-227.50097921,-227.12063903,-227.24397143,NCCC#N,NIST
2-methyl-1H-imidazole,89.8,-7227.8925996671,-265.42266283,-265.4521096,-265.3967997,-265.6470842,-265.21147209,-265.34550027,Cc1[nH]ccn1,NIST
hydrazine,97.64,-3044.6202148119,-111.80553951,-111.82027114,-111.81019852,-111.90019446,-111.72399906,-111.78088542,NN,ATcT
2-methylpyridine,98.95,-7828.0994279054,-287.45586112,-287.49404595,-287.42193184,-287.71812448,-287.22062502,-287.37253839,Cc1ccccn1,NIST
cyanoketene,100.0,-6666.0636367677,-244.80334082,-244.81112397,-244.78430419,-244.96575751,-244.61674795,-244.74627155,O=C=CC#N,NIST
n_n-dimethylbenzeneamine,100.5,-9966.9544714073,-365.99797191,-366.04991107,-365.95234064,-366.34499365,-365.70025678,-365.88625007,CN(C)c1ccccc1,NIST
1-methyl-1H-pyrrole,103.1,-6790.1298922034,-249.3428278,-249.37721421,-249.31463362,-249.5725051,-249.14239414,-249.26793853,Cn1cccc1,NIST
3-methylpyridine,106.1,-7828.0198688509,-287.45357839,-287.49071844,-287.41944146,-287.71494876,-287.21721649,-287.37041725,Cc1cccnc1,NIST
nitrosyl_hydride,106.99,-3552.3405874237,-130.4555773,-130.46405798,-130.46152444,-130.53724764,-130.37005801,-130.43407449,N=O,ATcT
dimethyl-furazan,107.0,-9274.0077970016,-340.56508262,-340.60441885,-340.54846836,-340.83568419,-340.31147346,-340.48303809,Cc1nonc1C,NIST
Pyrrole,108.3,-5720.6563862663,-210.07109591,-210.09540711,-210.04726332,-210.25542307,-209.90313785,-210.00866822,[nH]1cccc1,NIST
